"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1897060018765357337","Tue Mar 04 23:02:08 +0000 2025","2","Jadi banjir itu selain karena rakyat buang sampah sembarangan tapi lebih parah lagi karena izin AMDAL pemerintah yg amburadul tentang BAS DAS dan hulu sungai... Semoga fajar Nugros baca yg beginian... @ardisatriawan","1897060018765357337","","","in","","0","0","0","https://x.com/kemuning32421/status/1897060018765357337","1731476067893092352","kemuning32421"
"1897059987077390413","Tue Mar 04 23:02:01 +0000 2025","0","buka x banjir buka ig banjir buka tiktok banjir buka dompet anjir kering","1897059987077390413","","","in","","0","0","0","https://x.com/sleeapel/status/1897059987077390413","1776628208055762944","sleeapel"
"1897059967967936568","Tue Mar 04 23:01:56 +0000 2025","1","Sejarah merekam banjir dan Bekasi menjadi sesuatu yang sulit untuk dipisahkan. #Riset #AdadiKompas https://t.co/as3ZLdNcQo","1897059967967936568","","","in","Palmerah, Jakarta","0","0","0","https://x.com/hariankompas/status/1897059967967936568","255866913","hariankompas"
"1897059893426946160","Tue Mar 04 23:01:38 +0000 2025","2","Sebagai warga bekasi yg udh puluhan taun hidup di tempat yg sama gue ga terima warga bekasi dibilang ga vokal. Lo gatau kan betapa ngerugiinnya itu grand dhika? Udh diprotes sama warga sana sini tapi apa? Tetep dilanjut tuh bangunan ampe bikin 2x banjir parah. Terus di deket","1897059893426946160","","","in","the darkest side of my brain","0","0","0","https://x.com/GomJjinPengSoo/status/1897059893426946160","1780916913188786176","GomJjinPengSoo"
"1897046942154412418","Tue Mar 04 23:01:38 +0000 2025","0","@sheokmine Beneerrr. Scroll tl buat nyari info banjir udah surut atau belum yang diliat itu lagi itu lagi. Capek banget","1897059891203989688","","sheokmine","in","","0","0","0","https://x.com/Deeshoshh/status/1897059891203989688","2209880328","Deeshoshh"
"1897056431381377417","Tue Mar 04 23:01:17 +0000 2025","0","@maringetweett Banjir kok di sharing haduuh","1897059803027153086","","maringetweett","in","","0","0","0","https://x.com/drunkissd/status/1897059803027153086","1249587376759824384","drunkissd"
"1897059782848393627","Tue Mar 04 23:01:12 +0000 2025","0","Halo! Oh jadi habis kegiatan pantes di live ecen kehujanan tapi aman kan ga pilek? Iya stay safe yaa kamuu di aku aman si ga banjir iyaa kasihan liat orang2 kena musibah semoga cepet surut aminn. @S_GraciaJKT48 #GREply","1897059782848393627","","","in","","0","0","0","https://x.com/jeremiahh_00/status/1897059782848393627","1547451953575170048","jeremiahh_00"
"1897055705661882733","Tue Mar 04 23:01:08 +0000 2025","1","@Safa_Andriana lihat2 video2 banjir bekasi sedih banget","1897059764137537731","","Safa_Andriana","in","East Java","0","1","0","https://x.com/C_D3pp/status/1897059764137537731","1404751063324889088","C_D3pp"
"1897059744315310362","Tue Mar 04 23:01:03 +0000 2025","0","Lihatin berita banjir jadi keinget scene parasite movie. Pas hujan ada kelompok yg cenderung menikmati syahdunya hujan sepanjang hari tapi di sisi lain ada juga kelompok yg ketar ketir rumahnya kebanjiran.","1897059744315310362","","","in","Sekitaran empedu","0","0","0","https://x.com/kroketrudal/status/1897059744315310362","1592684793790988288","kroketrudal"
"1896823639959601273","Tue Mar 04 23:00:55 +0000 2025","0","@rzkykrnwan_ @ridwanhr Aman sih bang kalo kena banjir","1897059713000595503","","rzkykrnwan_","in","Yogyakarta, Indonesia","0","1","0","https://x.com/robbyaangga/status/1897059713000595503","2284534813","robbyaangga"
"1896913929844228327","Tue Mar 04 23:00:43 +0000 2025","0","@migorengdebes_ Oh no banjir + mati listrik tuh... Alhamdulillah ga kena banjir asli aku gatau kalo bekasi banjir juga....","1897059659330302288","","migorengdebes_","in","Time's Antiquities","0","0","0","https://x.com/acutpearce/status/1897059659330302288","175253092","acutpearce"
